id,title,price_per_night,description,image_url,created_at,updated_at,host,location
3f8c2d50-2e11-4f2e-b6be-9a2dc2356b1a,Modern Loft in Nairobi,45,Spacious and modern loft near CBD.,https://example.com/images/loft1.jpg,2024-07-01T12:00:00Z,2024-07-01T12:00:00Z,d6a9f926-d882-42d6-9f0b-1df9d44c7c10,a04b23c1-d5ef-4c13-9f3e-c1e73c9d6c7e
b72d5a6a-f421-4c3f-8937-59a289f4aa5a,Cozy Studio in Addis,35,A small but cozy studio apartment.,https://example.com/images/studio1.jpg,2024-07-02T13:30:00Z,2024-07-02T13:30:00Z,5fb5d08b-6d5d-4f3e-b25a-62f64a64a991,bfe4567e-9236-4c32-b1f1-4f58e97bc445
58b1d4c7-f83e-4983-bd5f-4e132f03ce0e,Beachfront Cabin in Dar,90,Peaceful cabin with ocean views.,https://example.com/images/cabin1.jpg,2024-07-03T14:00:00Z,2024-07-03T14:00:00Z,b9422eec-95e5-41c2-b74a-8a388b1d0f35,d78934d3-1435-44c5-9ab3-96e33b3f9f23
2ab7e30d-27ae-446f-93e1-3b3be2d50c86,Stylish Apartment in Lagos,70,Modern interior with 2 bedrooms.,https://example.com/images/apartment1.jpg,2024-07-04T15:45:00Z,2024-07-04T15:45:00Z,ea56be6e-b858-43c1-9011-18736d4a29fa,2d9ef7bc-9837-4207-bc96-4a61ebde5395
f6e3ae7e-45fa-4b44-9f1b-7c0ff4d231e5,Historic Home in Cairo,60,Charming old-world home.,https://example.com/images/home1.jpg,2024-07-05T16:10:00Z,2024-07-05T16:10:00Z,c4f4a63f-d0c6-40fc-aef2-3eb792a7eb2e,5e42fdbf-70ea-4721-9fd7-1cdef81d7c94
139dc165-b510-4e3c-9b9a-6557bdf777c3,Rooftop Suite in Johannesburg,110,Luxurious suite with skyline views.,https://example.com/images/suite1.jpg,2024-07-06T17:30:00Z,2024-07-06T17:30:00Z,0dba703f-b32c-4e80-bef2-9d0b9e10476d,8a19f5b7-ecc2-4520-a4f3-7e1ad80b5a9a
0b4d9b2f-c32f-4a44-8c3a-1f0487e4d6d7,Apartment in Kigali CBD,55,Close to all major amenities.,https://example.com/images/apartment2.jpg,2024-07-07T10:10:00Z,2024-07-07T10:10:00Z,2c29ab3a-f4f9-45a6-9d68-9a5f46eaa6a2,c4a9ef02-5b1e-44d6-8579-fb33e4d7dcb9
22255a3d-22ae-4e01-9514-75a897251ed6,Lakeview Home in Kampala,50,Great view and cool breeze.,https://example.com/images/lakehome.jpg,2024-07-08T08:20:00Z,2024-07-08T08:20:00Z,92829e1d-5a4f-4d0a-9526-839f1e78eaa4,ec4fbb09-0e7c-4e57-bf37-0efdb1546af9
bb1d39d5-3252-4aa6-a1cd-13f97ae0b4a3,Family Home in Accra,65,Perfect for long stays.,https://example.com/images/familyhome.jpg,2024-07-09T09:25:00Z,2024-07-09T09:25:00Z,d2f9d88d-097e-4cb0-8f59-f3f67b885de5,41c86a3f-b0d7-4985-97d8-e84662269f62
ddf5aa71-3ae4-4eec-a5a6-d39bb18249f1,Guesthouse in Lusaka,40,Quiet neighborhood and safe.,https://example.com/images/guesthouse.jpg,2024-07-10T11:15:00Z,2024-07-10T11:15:00Z,a9cfb3a1-27d2-4f59-a5f0-64e50f9cb104,f79b4e2d-ef58-4a08-95aa-4d73460a6f1f
